CODEDPT;Libellé du département;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;NUM_LISTE;NUANCE_LISTE;TETE_LISTE;TETE_LISTE;NB_VOIX;% VOIX
01;AIN;406710;174522;42,91;232188;57,09;4149;1,02;1,79;3386;0,83;1,46;224653;55,24;96,75;6;LUD;WAUQUIEZ 2015, UN NOUVEAU;WAUQUIEZ Laurent;89439;21,99
03;ALLIER;253705;106102;41,82;147603;58,18;3320;1,31;2,25;3771;1,49;2,55;140512;55,38;95,2;6;LUD;WAUQUIEZ 2015, UN NOUVEAU;WAUQUIEZ Laurent;57439;22,64
07;ARDECHE;247792;96313;38,87;151479;61,13;3190;1,29;2,11;2776;1,12;1,83;145513;58,72;96,06;10;LUG;NOUS, C'EST LA RÉGION;QUEYRANNE Jean-Jack;57443;23,18
15;CANTAL;118053;48384;40,98;69669;59,02;1537;1,3;2,21;1832;1,55;2,63;66300;56,16;95,16;6;LUD;WAUQUIEZ 2015, UN NOUVEAU;WAUQUIEZ Laurent;34769;29,45
26;DROME;363250;144302;39,73;218948;60,27;4364;1,2;1,99;3748;1,03;1,71;210836;58,04;96,3;10;LUG;NOUS, C'EST LA RÉGION;QUEYRANNE Jean-Jack;78221;21,53
38;ISERE;840801;357684;42,54;483117;57,46;9628;1,15;1,99;5683;0,68;1,18;467806;55,64;96,83;10;LUG;NOUS, C'EST LA RÉGION;QUEYRANNE Jean-Jack;187803;22,34
42;LOIRE;508758;214130;42,09;294628;57,91;5328;1,05;1,81;4504;0,89;1,53;284796;55,98;96,66;6;LUD;WAUQUIEZ 2015, UN NOUVEAU;WAUQUIEZ Laurent;116565;22,91
43;HAUTE LOIRE;177226;64184;36,22;113042;63,78;2560;1,44;2,26;1512;0,85;1,34;108970;61,49;96,4;6;LUD;WAUQUIEZ 2015, UN NOUVEAU;WAUQUIEZ Laurent;63039;35,57
63;PUY DE DOME;454455;181837;40,01;272618;59,99;6236;1,37;2,29;4996;1,1;1,83;261386;57,52;95,88;10;LUG;NOUS, C'EST LA RÉGION;QUEYRANNE Jean-Jack;111180;24,46
69;RHONE;1108468;483153;43,59;625315;56,41;9858;0,89;1,58;6473;0,58;1,04;608984;54,94;97,39;6;LUD;WAUQUIEZ 2015, UN NOUVEAU;WAUQUIEZ Laurent;252985;22,82
73;SAVOIE;304776;131896;43,28;172880;56,72;3525;1,16;2,04;2806;0,92;1,62;166549;54,65;96,34;6;LUD;WAUQUIEZ 2015, UN NOUVEAU;WAUQUIEZ Laurent;64540;21,18
74;HAUTE SAVOIE;526470;244759;46,49;281711;53,51;5471;1,04;1,94;4090;0,78;1,45;272150;51,69;96,61;6;LUD;WAUQUIEZ 2015, UN NOUVEAU;WAUQUIEZ Laurent;123820;23,52